dataProcessID,dataSourceID,dataProcess,batchGroup,subjectArea,objectSchema,objectName,dataProcessPathOrProcedure,partitionBy,piiColumns,primaryKeyColumns,projectIdColumn,isIncremental,isOptimize,zOrderColumns,silverJulianDateColumns,silverIsSnapshot,silverSnapshotPeriod,watermarkColumn,watermarkValue,lastExecutionTimestamp,description,isEnabled,isTestPromoteEnvironment,isProdPromoteEnvironment
1,32,silver,daily,NULL,silver_destimator,EstimateDataDetails_Office,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 22:40:46.000,2026-07-22 05:40:46.000,Detailed costs for Archive estimate version in flat format (Office costs),1,1,1
2,33,silver,daily,NULL,silver_destimator,EstimateDataDetails_Parking,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 22:40:46.000,2026-07-22 05:40:46.000,Detailed costs for Archive estimate version in flat format (Parking costs),1,1,1
3,34,silver,daily,NULL,silver_destimator,EstimateDataDetails_Project,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 22:40:46.000,2026-07-22 05:40:46.000,Detailed costs for Archive estimate version in flat format (Project costs),1,1,1
4,35,silver,daily,NULL,silver_destimator,EstimateDataDetails_Renovation,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 22:40:46.000,2026-07-22 05:40:46.000,Detailed costs for Archive estimate version in flat format (Renovation costs),1,1,1
5,36,silver,daily,NULL,silver_destimator,EstimateDataDetails_SM,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 22:40:46.000,2026-07-22 05:40:46.000,Detailed costs for Archive and SMArchive estimate versions in flat format (Schedule Metric costs),1,1,1
6,37,silver,daily,NULL,silver_destimator,EstimateFeeDataDetails_forDW,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,"EstimateKey, EvalOrder",NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 22:40:46.000,2026-07-22 05:40:46.000,Detailed costs for Archive estimate version in unpivoted format,1,1,1
7,38,silver,daily,NULL,silver_destimator,EstimateSummaryDataDetails_forDW,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 22:40:46.000,2026-07-22 05:40:46.000,Summary of Total and Direct Costs,1,1,1
8,39,silver,daily,NULL,silver_destimator,v_Datawarehouse_HistoricalData,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 22:40:46.000,2026-07-22 05:40:46.000,Historical data total costs,1,1,1
9,40,silver,daily,NULL,silver_p6,ACTVCODE,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,actv_code_id,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 23:53:15.000,2026-07-22 06:53:15.000,Activity Codes,1,1,1
10,41,silver,daily,NULL,silver_p6,ACTVTYPE,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,actv_code_type_id,proj_id,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 23:53:15.000,2026-07-22 06:53:15.000,Activity Code Types,1,1,1
11,42,silver,daily,NULL,silver_p6,CALENDAR,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,clndr_id,proj_id,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 23:53:15.000,2026-07-22 06:53:15.000,Calendar,1,1,1
12,43,silver,daily,NULL,silver_p6,FINDATES,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,fin_dates_id,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 23:53:15.000,2026-07-22 06:53:15.000,Financial Period,1,1,1
13,44,silver,daily,NULL,silver_p6,PCATTYPE,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,proj_catg_type_id,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 23:53:15.000,2026-07-22 06:53:15.000,Project Code Types,1,1,1
14,45,silver,daily,NULL,silver_p6,PCATVAL,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,proj_catg_id,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 23:53:15.000,2026-07-22 06:53:15.000,Project Codes,1,1,1
15,46,silver,daily,NULL,silver_p6,PROJECT,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,proj_id,proj_url,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 23:53:15.000,2026-07-22 06:53:15.000,Projects,1,1,1
16,47,silver,daily,NULL,silver_p6,PROJPCAT,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,"proj_id, proj_catg_type_id",proj_id,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 23:53:15.000,2026-07-22 06:53:15.000,Project Code Assignment,1,1,1
17,48,silver,daily,NULL,silver_p6,PROJWBS,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,wbs_id,proj_id,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 23:53:15.000,2026-07-22 06:53:15.000,Project Work Breakdown Structure (WBS),1,1,1
18,49,silver,daily,NULL,silver_p6,RSRC,/data_engineering/200_bronze_to_silver/bronze_to_silver,NULL,NULL,rsrc_id,NULL,0,NULL,NULL,NULL,0,NULL,etlBronzeTimestamp,2026-07-21 23:53:15.000,2026-07-22 06:53:15.000,Resources,1,1,1
