dataSourceId,dataSourceName,dataSourceType,dataSourceAuthenticationType,dataSourceTimeZone,batchGroup,dataLakeNameOrUrl,datalakeContainerName,dataLakePath,dataLakeEntityName,dataLakeFileType,serverName,databaseName,userName,firewallPort,restApiEntityName,basePath,relativePath,excelSheetName,connectionSecretName,objectSchema,objectName,piiColumns,zOrderColumns,primaryKeyColumns,isIncremental,isSnapshot,snapshotPeriod,projectIdColumn,sourceQuery,watermarkValue,watermarkColumn,lastExecutionTimestamp,description,isEnabled,isTestPromoteEnvironment,isProdPromoteEnvironment
32,destimator,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL22ENT01\OPS,DW_Source_DEstimator,NULL,NULL,NULL,NULL,NULL,NULL,sec-destimator-dw-connection-string,dbo,EstimateDataDetails_Office,NULL,NULL,NULL,0,0,NULL,NULL,SELECT * FROM dbo.dw_EstimateDataDetails_Office,2026-07-21 22:30:45.000,NULL,2026-07-22 05:30:45.000,Detailed costs for Archive estimate version in flat format (Office costs),1,1,1
33,destimator,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL22ENT01\OPS,DW_Source_DEstimator,NULL,NULL,NULL,NULL,NULL,NULL,sec-destimator-dw-connection-string,dbo,EstimateDataDetails_Parking,NULL,NULL,NULL,0,0,NULL,NULL,SELECT * FROM dbo.dw_EstimateDataDetails_Parking,2026-07-21 22:30:45.000,NULL,2026-07-22 05:30:45.000,Detailed costs for Archive estimate version in flat format (Parking costs),1,1,1
34,destimator,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL22ENT01\OPS,DW_Source_DEstimator,NULL,NULL,NULL,NULL,NULL,NULL,sec-destimator-dw-connection-string,dbo,EstimateDataDetails_Project,NULL,NULL,NULL,0,0,NULL,NULL,SELECT * FROM dbo.dw_EstimateDataDetails_Project,2026-07-21 22:30:45.000,NULL,2026-07-22 05:30:45.000,Detailed costs for Archive estimate version in flat format (Project costs),1,1,1
35,destimator,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL22ENT01\OPS,DW_Source_DEstimator,NULL,NULL,NULL,NULL,NULL,NULL,sec-destimator-dw-connection-string,dbo,EstimateDataDetails_Renovation,NULL,NULL,NULL,0,0,NULL,NULL,SELECT * FROM dbo.dw_EstimateDataDetails_Renovation,2026-07-21 22:30:45.000,NULL,2026-07-22 05:30:45.000,Detailed costs for Archive estimate version in flat format (Renovation costs),1,1,1
36,destimator,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL22ENT01\OPS,DW_Source_DEstimator,NULL,NULL,NULL,NULL,NULL,NULL,sec-destimator-dw-connection-string,dbo,EstimateDataDetails_SM,NULL,NULL,NULL,0,0,NULL,NULL,SELECT * FROM dbo.dw_EstimateDataDetails_SM,2026-07-21 22:30:45.000,NULL,2026-07-22 05:30:45.000,Detailed costs for Archive and SMArchive estimate versions in flat format (Schedule Metric costs),1,1,1
37,destimator,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL22ENT01\OPS,DESTINI_HistoricalData,NULL,NULL,NULL,NULL,NULL,NULL,sec-destimator-connection-string,dbo,EstimateFeeDataDetails_forDW,NULL,NULL,"EstimateKey, EvalOrder",0,0,NULL,NULL,NULL,2026-07-21 22:30:45.000,NULL,2026-07-22 05:30:45.000,Detailed costs for Archive estimate version in unpivoted format,1,1,1
38,destimator,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL22ENT01\OPS,DESTINI_HistoricalData,NULL,NULL,NULL,NULL,NULL,NULL,sec-destimator-connection-string,dbo,EstimateSummaryDataDetails_forDW,NULL,NULL,NULL,0,0,NULL,NULL,NULL,2026-07-21 22:30:45.000,NULL,2026-07-22 05:30:45.000,Summary of Total and Direct Costs,1,1,1
39,destimator,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL22ENT01\OPS,DW_Source_DEstimator,NULL,NULL,NULL,NULL,NULL,NULL,sec-destimator-dw-connection-string,dbo,v_Datawarehouse_HistoricalData,NULL,NULL,NULL,0,0,NULL,NULL,SELECT * FROM dbo.dw_v_Datawarehouse_HistoricalData,2026-07-21 22:30:45.000,NULL,2026-07-22 05:30:45.000,Historical data total costs,1,1,1
40,p6,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL19ENT02,SundtSMS,NULL,NULL,NULL,NULL,NULL,NULL,sec-p6-connection-string,dbo,ACTVCODE,NULL,NULL,actv_code_id,0,0,NULL,NULL,SELECT * FROM dbo.ACTVCODE WITH (NOLOCK),2026-07-21 22:30:44.000,NULL,2026-07-22 05:30:44.000,Activity Codes,1,1,1
41,p6,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL19ENT02,SundtSMS,NULL,NULL,NULL,NULL,NULL,NULL,sec-p6-connection-string,dbo,ACTVTYPE,NULL,NULL,actv_code_type_id,0,0,NULL,proj_id,SELECT * FROM dbo.ACTVTYPE WITH (NOLOCK),2026-07-21 22:30:44.000,NULL,2026-07-22 05:30:44.000,Activity Code Types,1,1,1
42,p6,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL19ENT02,SundtSMS,NULL,NULL,NULL,NULL,NULL,NULL,sec-p6-connection-string,dbo,CALENDAR,NULL,NULL,clndr_id,0,0,NULL,proj_id,SELECT * FROM dbo.CALENDAR WITH (NOLOCK),2026-07-21 22:30:44.000,NULL,2026-07-22 05:30:44.000,Calendar,1,1,1
43,p6,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL19ENT02,SundtSMS,NULL,NULL,NULL,NULL,NULL,NULL,sec-p6-connection-string,dbo,FINDATES,NULL,NULL,fin_dates_id,0,0,NULL,NULL,SELECT * FROM dbo.FINDATES WITH (NOLOCK),2026-07-21 22:30:44.000,NULL,2026-07-22 05:30:44.000,Financial Period,1,1,1
44,p6,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL19ENT02,SundtSMS,NULL,NULL,NULL,NULL,NULL,NULL,sec-p6-connection-string,dbo,PCATTYPE,NULL,NULL,proj_catg_type_id,0,0,NULL,NULL,SELECT * FROM dbo.PCATTYPE WITH (NOLOCK),2026-07-21 22:30:44.000,NULL,2026-07-22 05:30:44.000,Project Code Types,1,1,1
45,p6,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL19ENT02,SundtSMS,NULL,NULL,NULL,NULL,NULL,NULL,sec-p6-connection-string,dbo,PCATVAL,NULL,NULL,proj_catg_id,0,0,NULL,NULL,SELECT * FROM dbo.PCATVAL WITH (NOLOCK),2026-07-21 22:30:44.000,NULL,2026-07-22 05:30:44.000,Project Codes,1,1,1
46,p6,SQL Server,SQL Authentication,Pacific Standard Time,daily,NULL,NULL,NULL,NULL,NULL,TEMSQL19ENT02,SundtSMS,NULL,NULL,NULL,NULL,NULL,NULL,sec-p6-connection-string,dbo,PROJECT,NULL,NULL,proj_id,0,0,NULL,proj_url,SELECT * FROM dbo.PROJECT WITH (NOLOCK),2026-07-21 22:30:44.000,NULL,2026-07-22 05:30:44.000,Projects,1,1,1
